日付,球場,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン数（ホーム）,ホームラン数（ビジター）,イニング別得点（ホーム(ビジター)）,観客動員数,URL
2026年4月19日（日）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,千葉ロッテマリーンズロッテ,5,8,9,9,1,1,0,0,"1(0),1(0),0(0),0(0),0(0),3(2),0(0),0(6),0(0)",24353,https://npb.jp/scores/2026/0419/e-m-03/
2026年4月19日（日）,エスコンＦ,北海道日本ハムファイターズ日本ハム,埼玉西武ライオンズ西武,3,15,6,13,3,0,0,0,"0(0),0(0),1(4),1(1),0(0),0(0),1(0),0(8),0(2)",30241,https://npb.jp/scores/2026/0419/f-l-03/
2026年4月19日（日）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,オリックス・バファローズオリックス,1,2,4,7,0,0,0,0,"1(0),0(0),0(0),0(0),0(0),0(0),0(0),0(1),0(1)",39640,https://npb.jp/scores/2026/0419/h-b-03/
2026年4月19日（日）,神　宮,東京ヤクルトスワローズヤクルト,読売ジャイアンツ巨人,3,1,6,2,0,2,0,0,"0(0),0(0),0(0),3(1),0(0),0(0),0(0),0(0),x(0)",29328,https://npb.jp/scores/2026/0419/s-g-06/
2026年4月19日（日）,甲子園,阪神タイガース阪神,中日ドラゴンズ中日,7,5,10,9,1,0,0,0,"3(2),0(2),0(1),0(0),2(0),1(0),1(0),0(0),x(0)",42625,https://npb.jp/scores/2026/0419/t-d-06/
2026年4月21日（火）,マツダスタジアム,広島東洋カープ広島,東京ヤクルトスワローズヤクルト,2,1,3,4,0,0,0,0,"0(0),0(0),0(0),2(0),0(0),0(1),0(0),0(0),x(0)",21844,https://npb.jp/scores/2026/0421/c-s-03/
2026年4月21日（火）,横　浜,横浜DeNAベイスターズDeNA,阪神タイガース阪神,16,9,14,14,0,2,0,0,"0(1),0(1),2(1),0(0),4(2),0(0),4(1),6(3),x(0)",32243,https://npb.jp/scores/2026/0421/db-t-04/
2026年4月21日（火）,エスコンＦ,北海道日本ハムファイターズ日本ハム,東北楽天ゴールデンイーグルス楽天,3,1,8,4,0,0,0,0,"0(0),0(0),1(0),2(1),0(0),0(0),0(0),0(0),x(0)",29000,https://npb.jp/scores/2026/0421/f-e-04/
2026年4月21日（火）,長　野,読売ジャイアンツ巨人,中日ドラゴンズ中日,2,1,7,11,0,3,0,0,"0(0),0(0),0(0),0(1),0(0),0(0),2(0),0(0),x(0)",22044,https://npb.jp/scores/2026/0421/g-d-04/
2026年4月21日（火）,ベルーナドーム,埼玉西武ライオンズ西武,福岡ソフトバンクホークスソフトバンク,6,4,7,6,0,0,0,0,"6(0),0(4),0(0),0(0),0(0),0(0),0(0),0(0),x(0)",24727,https://npb.jp/scores/2026/0421/l-h-04/
2026年4月21日（火）,ZOZOマリン,千葉ロッテマリーンズロッテ,オリックス・バファローズオリックス,7,4,10,6,0,1,0,0,"0(0),0(0),1(0),0(1),3(0),2(3),1(0),0(0),x(0)",20353,https://npb.jp/scores/2026/0421/m-b-04/
2026年4月22日（水）,マツダスタジアム,広島東洋カープ広島,東京ヤクルトスワローズヤクルト,0,2,7,9,0,1,0,0,"0(1),0(0),0(0),0(1),0(0),0(0),0(0),0(0),0(0)",24277,https://npb.jp/scores/2026/0422/c-s-04/
2026年4月22日（水）,横　浜,横浜DeNAベイスターズDeNA,阪神タイガース阪神,7,6,15,6,1,0,0,0,"4(0),0(1),1(4),0(0),0(0),1(0),0(1),1(0),x(0)",31625,https://npb.jp/scores/2026/0422/db-t-05/
2026年4月22日（水）,エスコンＦ,北海道日本ハムファイターズ日本ハム,東北楽天ゴールデンイーグルス楽天,5,4,15,6,2,0,0,0,"1(0),2(0),0(0),0(0),0(2),0(1),0(0),1(1),0(0)",28254,https://npb.jp/scores/2026/0422/f-e-05/
2026年4月22日（水）,前　橋,読売ジャイアンツ巨人,中日ドラゴンズ中日,5,1,13,7,0,1,0,0,"0(0),4(0),0(0),0(0),0(1),0(0),1(0),0(0),x(0)",15768,https://npb.jp/scores/2026/0422/g-d-05/
2026年4月22日（水）,ベルーナドーム,埼玉西武ライオンズ西武,福岡ソフトバンクホークスソフトバンク,3,1,8,3,0,0,0,0,"0(1),2(0),0(0),1(0),0(0),0(0),0(0),0(0),x(0)",23330,https://npb.jp/scores/2026/0422/l-h-05/
2026年4月22日（水）,ZOZOマリン,千葉ロッテマリーンズロッテ,オリックス・バファローズオリックス,1,4,3,5,1,0,0,0,"0(0),1(0),0(1),0(0),0(3),0(0),0(0),0(0),0(0)",21618,https://npb.jp/scores/2026/0422/m-b-05/
