年度,日付,曜日,週末/祝日,球場,試合時間,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン_ホーム,ホームラン_ビジター,ホームラン合計,HR詳細_ホーム,HR詳細_ビジター,ホーム勝利,得点差,逆転あり,サヨナラ,延長戦,リード変化回数,最終得点イニング,イニング別得点,勝利投手,敗戦投手,セーブ投手,URL
2022,2022年5月24日（火）,火,0,神　宮,4時間10分,東京ヤクルトスワローズ,北海道日本ハムファイターズ,3,1,8,8,0,0,2,0,2,内山壮1号（8回ソロ堀）、村上14号（11回2ラン北山）,,1,2,1,0,1,0,8,"0(0),0(0),0(0),0(0),0(1),0(0),0(0),1(0),0(0),0(0),2x(0)",清水（2勝1敗）,北山（3勝2敗）,,https://npb.jp/scores/2022/0524/s-f-01/
2022,2022年5月24日（火）,火,0,甲子園,3時間1分,阪神タイガース,東北楽天ゴールデンイーグルス,1,0,7,9,1,0,0,0,0,,,1,1,0,1,0,0,6,"0(0),0(0),0(0),0(0),0(0),1(0),0(0),0(0),x(0)",西勇（3勝3敗）,田中将（4勝3敗）,岩崎（7セ）,https://npb.jp/scores/2022/0524/t-e-01/
2022,2022年5月25日（水）,水,0,マツダスタジアム,3時間6分,広島東洋カープ,千葉ロッテマリーンズ,5,2,12,4,1,1,0,2,2,,岡4号（2回ソロ遠藤）、レアード7号（7回ソロ遠藤）,1,3,0,1,0,0,7,"0(0),1(1),0(0),0(0),2(0),2(0),0(1),0(0),x(0)",遠藤（3勝3敗）,小島（0勝5敗）,栗林（9セ）,https://npb.jp/scores/2022/0525/c-m-02/
2022,2022年5月25日（水）,水,0,バンテリンドーム,3時間1分,中日ドラゴンズ,埼玉西武ライオンズ,1,2,4,5,1,0,0,1,1,,山川15号（2回ソロ髙橋宏）,0,1,0,0,0,1,5,"1(0),0(1),0(0),0(0),0(1),0(0),0(0),0(0),0(0)",與座（3勝1敗）,髙橋宏（2勝3敗）,増田（12セ）,https://npb.jp/scores/2022/0525/d-l-02/
2022,2022年5月25日（水）,水,0,横　浜,3時間10分,横浜DeNAベイスターズ,福岡ソフトバンクホークス,2,8,7,10,3,1,1,0,1,牧11号（4回ソロ松本）,,0,6,0,0,0,0,5,"0(1),0(0),1(0),1(1),0(6),0(0),0(0),0(0),0(0)",松本（1勝0敗）,ロメロ（3勝4敗）,,https://npb.jp/scores/2022/0525/db-h-02/
2022,2022年5月25日（水）,水,0,東京ドーム,2時間50分,読売ジャイアンツ,オリックス・バファローズ,5,3,8,8,0,0,1,0,1,岡本和14号（1回3ランワゲスパック）,,1,2,0,1,0,0,8,"3(2),0(0),0(0),0(0),0(1),0(0),0(0),2(0),x(0)",鍬原（1勝0敗）,ビドル（3勝3敗）,大勢（18セ）,https://npb.jp/scores/2022/0525/g-b-02/
2022,2022年5月25日（水）,水,0,神　宮,3時間32分,東京ヤクルトスワローズ,北海道日本ハムファイターズ,7,6,13,14,1,1,1,1,2,山崎1号（9回3ラン北山）,松本剛1号（1回ソロスアレス）,1,1,1,0,0,0,9,"0(1),0(0),0(0),0(1),0(1),0(0),3(0),1(1),3x(2)",大西（3勝1敗）,北山（3勝3敗）,,https://npb.jp/scores/2022/0525/s-f-02/
2022,2022年5月25日（水）,水,0,甲子園,3時間11分,阪神タイガース,東北楽天ゴールデンイーグルス,1,6,5,10,1,0,1,2,3,大山8号（2回ソロ辛島）,辰己3号（4回ソロ西純）、浅村7号（5回2ラン西純）,0,5,1,0,0,1,7,"0(0),1(0),0(1),0(1),0(2),0(0),0(2),0(0),0(0)",辛島（1勝0敗）,西純（2勝1敗）,,https://npb.jp/scores/2022/0525/t-e-02/
2022,2022年5月26日（木）,木,0,マツダスタジアム,3時間22分,広島東洋カープ,千葉ロッテマリーンズ,3,6,12,8,1,0,0,1,1,,レアード8号（2回2ラン九里）,0,3,0,0,0,1,5,"1(0),0(2),1(1),1(0),0(3),0(0),0(0),0(0),0(0)",小沼（1勝1敗）,九里（2勝3敗）,益田（9セ）,https://npb.jp/scores/2022/0526/c-m-03/
2022,2022年5月26日（木）,木,0,バンテリンドーム,3時間19分,中日ドラゴンズ,埼玉西武ライオンズ,6,3,11,10,0,1,0,0,0,,,1,3,0,1,0,0,9,"0(0),0(0),0(0),3(0),1(1),2(0),0(0),0(0),x(2)",松葉（2勝1敗）,隅田（1勝5敗）,R.マルティネス（11セ）,https://npb.jp/scores/2022/0526/d-l-03/
